32	43	21	15	14	21	32	23	34	45	26	37	48	29	50	25 	15	18	25	24	26	42	15	29	25	35	23	19	25	25	25 	15	18	25	15
22	32	43	54	65	25	25 	15	18	25	24	26	42	15	29	11	10	11	20	7	14	16	1	30	25	7	11	21	20	12	11	10	11	20	10
56	45	34	23	11	12	11	10	11	20	7	14	16	1	30	8	13	22	15	20	13	15	35	5	1	26	6	16	15	15	8	13	22	15	13
38	48	58	68	78	15	8	13	22	15	20	13	15	35	5	5	31	9	23	21	16	25	20	18	18	6	46	25	23	26	5	31	9	23	31
56	46	36	26	16	26	5	31	9	23	21	16	25	20	18	35	21	32	27	12	46	27	48	28	5	67	13	23	27	14	35	21	32	27	21
32	43	21	15	14	14	35	21	32	27	12	46	27	48	28	23	19	18	19	23	35	215	9	5	19	32	42	32	19	22	23	19	18	19	19
22	32	43	54	65	15	8	13	22	15	20	13	15	35	5	12	16	17	21	35	7	26	6	67	32	21	11	15	21	21	12	16	17	21	16
56	45	34	23	11	26	5	31	9	23	21	16	25	20	18	21	27	23	18	5	23	65	10	16	67	57	28	32	18	18	21	27	23	18	27
38	48	58	68	78	14	35	21	32	27	12	46	27	48	28	20	23	35	24	8	11	25	35	11	21	17	21	21	24	22	20	23	35	24	23
56	46	36	26	16	22	23	19	18	19	23	25	35	19	25	17	19	30	19	11	25	11	21	17	21	24	22	24	20	21	17	19	30	19	19
32	43	21	15	14	25	25 	15	18	25	24	26	42	15	29	25	25 	15	18	25	24	26	42	15	29	25	35	23	19	25	25	25 	15	18	25
22	32	43	54	65	12	11	10	11	20	7	14	16	1	30	12	11	10	11	20	7	14	16	1	30	25	7	11	21	20	12	11	10	11	20
56	45	34	23	11	15	8	13	22	15	20	13	15	35	5	15	8	13	22	15	20	13	15	35	5	1	26	6	16	15	15	8	13	22	15
38	48	58	68	78	26	5	31	9	23	21	16	25	20	18	26	5	31	9	23	21	16	25	20	18	18	6	46	25	23	26	5	31	9	23
56	46	36	26	16	14	35	21	32	27	12	46	27	48	28	14	35	21	32	27	12	46	27	48	28	5	67	13	23	27	14	35	21	32	27
32	43	21	15	14	22	23	19	18	19	23	45	15	19	15	22	23	19	18	19	23	15	5	29	35	19	32	42	32	19	22	23	19	18	19
22	32	43	54	65	21	12	16	17	21	35	7	26	6	67	21	12	16	17	21	35	7	26	6	67	32	21	11	15	21	21	12	16	17	21
56	45	34	23	11	18	21	27	23	18	5	23	65	10	16	18	21	27	23	18	5	23	65	10	16	67	57	28	32	18	18	21	27	23	18
38	48	58	68	78	22	20	23	35	24	8	11	25	35	11	22	20	23	35	24	8	11	25	35	11	21	17	21	21	24	22	20	23	35	24
56	46	36	26	16	21	17	19	30	19	11	25	11	21	17	21	17	19	30	19	11	25	11	21	17	21	24	22	24	20	21	17	19	30	19
32	43	21	15	14	19	26	21	16	21	25	9	12	15	26	19	26	21	16	21	25	9	12	15	26	14	22	21	18	21	19	26	21	16	21
22	32	43	54	65	25	24	31	13	16	26	42	15	29	25	25	24	31	13	16	26	42	15	29	25	35	23	19	25	25	25	24	31	13	16
56	45	34	23	11	25	22	18	26	25	26	6	16	15	15	25	22	18	26	25	26	6	16	15	15	8	13	22	15	25	25	22	18	26	25
38	48	58	68	78	12	32	32	22	23	6	46	25	23	26	12	32	32	22	23	6	46	25	23	26	5	31	9	23	20	12	32	32	22	23
56	46	36	26	16	15	25	25	16	25	67	13	23	27	14	15	25	25	16	25	67	13	23	27	14	35	21	32	27	15	15	25	25	16	25
32	43	21	15	14	15	8	13	22	15	20	13	15	35	5	15	8	13	22	15	20	13	15	35	5	1	26	6	16	15	15	8	13	22	15
22	32	43	54	65	26	5	31	9	23	21	16	25	20	18	26	5	31	9	23	21	16	25	20	18	18	6	46	25	23	26	5	31	9	23
56	45	34	23	11	18	21	27	23	18	5	23	65	10	16	18	21	27	23	18	5	23	65	10	16	67	57	28	32	18	18	21	27	23	18
38	48	58	68	78	22	20	23	35	24	8	11	25	35	11	22	20	23	35	24	8	11	25	35	11	21	17	21	21	24	22	20	23	35	24
56	46	36	26	16	21	17	19	30	19	11	25	11	21	17	21	17	19	30	19	11	25	11	21	17	21	24	22	24	20	21	17	19	30	19
32	43	21	15	14	32	43	21	15	14	32	43	21	15	14	32	43	21	15	14	32	43	21	15	14	32	43	21	15	14	32	43	21	15	14
22	32	43	54	65	22	32	43	54	65	22	32	43	54	65	22	32	43	54	65	22	32	43	54	65	22	32	43	54	65	22	32	43	54	65
56	45	34	23	11	56	45	34	23	11	56	45	34	23	11	56	45	34	23	11	56	45	34	23	11	56	45	34	23	11	56	45	34	23	11
38	48	58	68	78	38	48	58	68	78	38	48	58	68	78	38	48	58	68	78	38	48	58	68	78	38	48	58	68	78	38	48	58	68	78
56	46	36	26	16	56	46	36	26	16	56	46	36	26	16	56	46	36	26	16	56	46	36	26	16	56	46	36	26	16	56	46	36	26	16
