20	32	12	41	71	14	62	73	34	43	6	21	1	99	11	53	31	42	55	33	44	66	71	22	13	51	28	27	43	79	66	88	99	55	44	33	23	34	45	67	78	86	75	63	52	2	92	1	64	74
55	44	33	23	34	64	20	32	12	41	71	14	45	67	78	86	75	78	65	32	42	74	66	34	54	63	34	54	63	34	54	63	61	86	75	2	55	44	33	23	34	32	14	74	22	6	21	22	2	14
45	67	78	86	75	2	55	44	33	23	34	32	14	62	73	34	43	43	55	33	53	13	15	42	74	66	42	74	66	42	74	66	45	28	27	34	12	45	67	78	86	75	55	14	34	71	14	34	34	33
22	13	51	28	27	34	12	45	67	78	86	75	55	44	33	23	34	1	99	11	53	31	42	53	13	15	53	13	15	53	13	15	33	34	54	42	24	24	22	13	51	20	45	33	42	34	32	42	42	41
34	54	63	34	54	42	24	24	22	13	51	20	45	67	78	86	75	55	44	33	23	34	34	42	55	33	44	66	71	45	62	42	22	42	74	53	34	44	34	54	63	55	32	41	53	86	75	53	53	55
42	74	66	42	74	53	34	44	34	54	63	55	32	12	41	71	14	45	67	78	86	75	42	55	44	33	23	34	22	13	51	28	27	53	13	78	65	32	42	74	66	45	44	55	42	51	20	42	78	38
53	13	15	53	13	78	65	32	42	74	66	45	44	33	23	34	64	32	43	33	22	54	53	45	67	78	86	75	55	44	33	23	34	43	79	66	88	99	76	44	23	54	77	38	55	63	55	55	43	42
42	55	33	44	66	43	55	33	53	13	15	22	67	78	86	75	22	14	25	43	41	52	6	7	8	9	10	11	12	13	14	15	16	45	67	78	86	75	55	44	33	23	34	42	45	66	45	45	92	22
55	44	33	23	34	92	77	74	42	55	33	34	13	51	28	27	34	12	41	71	14	62	73	34	43	6	21	1	99	11	53	31	42	14	25	36	47	55	63	74	18	49	10	45	67	78	86	75	13	29
45	67	78	86	75	13	11	22	43	24	65	42	54	63	34	54	42	33	23	34	64	20	32	12	41	71	14	45	67	78	86	75	78	28	27	34	12	45	67	78	86	75	55	20	32	12	41	71	14	45
71	22	13	51	28	27	22	13	51	28	27	53	74	66	42	74	53	78	86	75	2	55	44	33	23	34	32	14	62	73	34	43	43	34	54	42	24	24	22	13	51	20	45	55	44	33	23	34	32	14
62	34	54	63	34	54	34	54	63	34	54	42	13	15	53	13	78	51	28	27	34	12	45	67	78	86	75	55	44	33	23	34	1	42	74	53	34	44	34	54	63	55	32	12	45	67	78	86	75	55
53	42	74	66	42	74	42	74	66	42	74	55	55	33	44	66	43	63	34	54	42	24	24	22	13	51	20	45	67	78	86	75	55	53	13	78	65	32	42	74	66	45	44	24	24	22	13	51	20	45
44	53	13	15	53	13	53	13	15	53	13	45	44	33	23	34	92	66	42	74	53	34	44	34	54	63	55	32	12	41	71	14	45	44	66	43	55	33	53	13	15	22	67	34	44	34	54	63	55	32
35	42	55	33	44	66	42	55	33	44	66	71	67	78	86	75	13	15	53	13	78	65	32	42	74	66	45	44	33	23	34	64	14	23	34	92	77	74	42	55	33	34	13	65	32	42	74	66	45	44
26	55	44	33	23	34	55	44	33	23	34	62	22	13	51	28	27	33	44	66	43	55	33	53	13	15	22	67	78	86	75	2	1	86	75	13	11	22	43	24	65	42	54	55	33	53	13	15	22	67
27	45	67	78	86	75	45	67	78	86	75	53	34	54	63	34	54	33	23	34	92	77	74	42	55	33	34	13	51	28	27	34	2	42	74	53	34	44	34	54	63	55	32	77	74	42	55	33	34	13
20	32	12	41	71	21	1	99	11	53	73	20	32	12	41	71	44	66	71	22	21	1	99	11	53	43	6	21	1	99	11	20	32	12	41	71	73	21	1	99	11	53	31	42	55	20	32	12	41	71
55	44	33	23	34	14	45	67	78	86	32	55	44	33	23	34	42	74	66	34	14	45	67	78	86	41	71	14	45	67	78	55	44	33	23	34	32	14	45	67	78	86	75	78	65	55	44	33	23	34
45	67	78	86	75	32	14	62	73	34	44	45	67	78	86	75	53	13	15	42	32	14	62	73	34	23	34	32	14	62	73	45	67	78	86	75	44	32	14	62	73	34	43	43	55	45	67	78	86	75
22	13	51	28	27	75	55	44	33	23	45	22	13	51	28	27	53	31	42	53	75	55	44	33	23	78	86	75	55	44	33	22	13	51	28	27	45	75	55	44	33	23	34	1	99	22	13	51	28	27
34	54	63	34	54	20	45	67	78	86	24	34	54	63	34	54	23	34	34	42	20	45	67	78	86	13	51	20	45	67	78	34	54	63	34	54	24	20	45	67	78	86	75	55	44	34	54	63	34	54
42	74	66	42	74	55	32	12	41	71	44	42	74	66	42	74	86	75	42	55	55	32	12	41	71	54	63	55	32	12	41	42	74	66	42	74	44	55	32	12	41	71	14	45	67	42	74	66	42	74
53	13	15	53	13	45	44	33	23	34	32	53	13	15	53	13	22	54	53	45	45	44	33	23	34	74	66	45	44	33	23	53	13	15	53	13	32	45	44	33	23	34	64	32	43	53	13	15	53	13
42	55	33	44	66	22	67	78	86	75	33	42	55	33	44	66	41	52	6	7	22	67	78	86	75	13	15	22	67	78	86	42	55	33	44	66	33	22	67	78	86	75	22	14	25	42	55	33	44	66
55	44	33	23	34	34	13	51	28	27	74	55	44	33	23	34	14	62	73	34	34	13	51	28	27	55	33	34	13	51	28	55	44	33	23	34	74	34	13	51	28	27	34	12	41	55	44	33	23	34
45	67	78	86	75	42	54	63	34	54	22	45	67	78	86	75	64	20	32	12	42	54	63	34	54	24	65	42	54	63	34	45	67	78	86	75	22	42	54	63	34	54	42	33	23	45	67	78	86	75
71	22	13	51	28	53	74	66	42	74	13	71	22	13	51	28	2	55	44	33	53	74	66	42	74	28	27	53	74	66	42	71	22	13	51	28	13	53	74	66	42	74	53	78	86	71	22	13	51	28
62	34	54	63	34	42	13	15	53	13	54	62	34	54	63	34	34	12	45	67	42	13	15	53	13	34	54	42	13	15	53	62	34	54	63	34	54	42	13	15	53	13	78	51	28	62	34	54	63	34
53	42	74	66	42	55	55	33	44	66	74	53	42	74	66	42	42	24	24	22	55	55	33	44	66	42	74	55	55	33	44	53	42	74	66	42	74	55	55	33	44	66	43	63	34	53	42	74	66	42
44	53	13	15	53	45	44	33	23	34	13	44	53	13	15	53	53	34	44	34	45	44	33	23	34	53	13	45	44	33	23	44	53	13	15	53	13	45	44	33	23	34	92	66	42	44	53	13	15	53
35	42	55	33	44	71	67	78	86	75	55	35	42	55	33	44	78	65	32	42	71	67	78	86	75	44	66	71	67	78	86	35	42	55	33	44	55	71	67	78	86	75	13	15	53	35	42	55	33	44
26	55	44	33	23	62	22	13	51	28	44	26	55	44	33	23	43	55	33	53	62	22	13	51	28	23	34	62	22	13	51	26	55	44	33	23	44	62	22	13	51	28	27	33	44	26	55	44	33	23
27	45	67	78	86	53	34	54	63	34	67	27	45	67	78	86	92	77	74	42	53	34	54	63	34	86	75	53	34	54	63	27	45	67	78	86	67	53	34	54	63	34	54	33	23	27	45	67	78	86
1	12	41	71	14	62	73	44	66	71	22	99	55	44	33	23	12	41	71	14	62	73	22	44	66	71	22	44	66	12	41	71	14	62	73	44	66	71	22	12	41	71	14	62	73	22	44	66	71	22
2	33	23	34	64	20	32	42	74	66	34	61	86	75	2	55	33	23	34	64	20	32	34	42	74	66	34	42	74	33	23	34	64	20	32	42	74	66	34	33	23	34	64	20	32	34	42	74	66	34
3	78	86	75	2	55	44	53	13	15	42	45	28	27	34	12	78	86	75	2	55	44	85	53	13	15	42	53	13	78	86	75	2	55	44	53	13	15	42	78	86	75	2	55	44	85	53	13	15	42
4	51	28	27	34	12	45	53	31	42	53	33	34	54	42	24	51	28	27	34	12	45	34	53	31	42	53	53	31	51	28	27	34	12	45	53	31	42	53	51	28	27	34	12	45	34	53	31	42	53
5	63	34	54	42	24	24	23	34	34	42	22	42	74	53	34	63	34	54	42	24	24	26	23	34	34	42	23	34	63	34	54	42	24	24	23	34	34	42	63	34	54	42	24	24	26	23	34	34	42
7	66	42	74	53	34	44	86	75	42	55	27	53	13	78	65	66	42	74	53	34	44	44	86	75	42	55	86	75	66	42	74	53	34	44	86	75	42	55	66	42	74	53	34	44	44	86	75	42	55
8	15	53	13	78	65	32	22	54	53	45	34	43	79	66	88	15	53	13	78	65	32	77	22	54	53	45	22	54	15	53	13	78	65	32	22	54	53	45	15	53	13	78	65	32	77	22	54	53	45
9	33	44	66	43	55	33	41	52	6	7	16	45	67	78	86	33	44	66	43	55	91	32	41	52	6	7	41	52	33	44	66	43	55	33	41	52	6	7	33	44	66	43	55	33	32	41	52	6	7
10	33	23	34	92	77	74	14	62	73	34	42	14	25	36	47	33	23	34	92	77	74	83	14	62	73	34	14	62	33	23	34	92	77	74	14	62	73	34	33	23	34	92	77	74	83	14	62	73	34
11	78	86	75	13	11	22	64	20	32	12	78	28	27	34	12	78	86	75	13	11	22	86	64	20	32	12	64	20	78	86	75	13	11	22	64	20	32	12	78	86	75	13	11	22	86	64	20	32	12
12	13	51	28	27	22	13	2	55	44	33	43	34	54	42	24	13	51	28	27	22	13	51	2	55	44	33	2	55	13	51	28	27	22	13	2	55	44	33	13	51	28	27	22	13	51	2	55	44	33
13	54	63	34	54	34	54	34	12	45	67	1	42	74	53	34	54	63	34	54	34	54	63	34	12	45	67	34	12	54	63	34	54	34	54	34	12	45	67	54	63	34	54	34	54	63	34	12	45	67
14	74	66	42	74	42	74	42	24	24	22	55	53	13	78	65	74	66	42	74	42	74	66	42	24	24	22	42	24	74	66	42	74	42	74	42	24	24	22	74	66	42	74	42	74	66	42	24	24	22
15	13	15	53	13	53	13	53	34	44	34	45	44	66	43	55	13	15	53	13	53	13	15	53	34	44	34	53	34	13	15	53	13	53	13	53	34	44	34	13	15	53	13	53	13	15	53	34	44	34
16	55	33	44	66	42	55	78	65	32	42	14	23	34	92	77	55	33	44	66	42	55	33	78	65	32	42	78	65	55	33	44	66	42	55	78	65	32	42	55	33	44	66	42	55	33	78	65	32	42
16	44	33	23	34	55	44	43	55	33	53	1	86	75	13	11	44	33	23	34	55	44	33	43	55	33	53	43	55	44	33	23	34	55	44	43	55	33	53	44	33	23	34	55	44	33	43	55	33	53
